question,answer
"Alo dok, Mau nanya bagaimana mencuci buah yang benar ? apakah pakai cairan pencuci piring untuk memcuci buah itu aman ? apakah semua pestisida di kulit buah bisa hilang ? terutama untuk buah apel dan pir","Alo Darwis, Terimakasih atas pertanyaannya. Dewasa ini, banyak memang bahan pangan yang diolah dengan tambahan zat kimia berbahaya, bahkan sejak proses penanamannya, contohnya karena ditambahkan  pestisida  untuk membasmi hama. Bukan itu saja, usai dipanen, banyak pula substansi kimia berbahaya lain yang bisa ditambahkan pada bahan pangan yang akhirnya kita konsumsi, contohnya pewarna dan pengawet buatan. Kondisi ini agaknya perlu disikapi dengan kewaspadaan yang tinggi. Sebab, dampak pajanan zat-zat kimia ini bagi kesehatan di masa depan akan sangat berbahaya, seperti bisa meningkatkan risiko kanker, gangguan syaraf, iritasi kulit dan mata, gangguan kesuburan, gangguan kehamilan, gangguan pernapasan, gangguan ginjal, dan sebagainya. Upaya mencegah pajanan zat kimia berbahaya tersebut bisa Anda lakukan mulai dari dengan mencuci secara benar buah dan sayuran sebelum dikonsumsi, termasuk apel dan pir. Mencuci buah dan sayuran boleh Anda lakukan cukup dengan air bersih yang mengalir. Hanya saja, agar bersih lebih optimal, Anda bisa gunakan sabun pencuci piring, baking soda, atau air rendaman jeruk nipis untuk mencuci buah dan sayuran tersebut. Asalkan Anda mengeringkannya dengan baik sebelum buah dan sayuran tersebut dikonsumsi, maka hal ini cukup aman untuk dilakukan. Tentu, tidak bisa dipastikan apakah pestisida bisa hilang sempurna dengan tindakan ini atau tidak. Hanya saja, dengan melakukan tindakan ini, risiko Anda terpajan pestisida dan substansi kimia lain yang berbahaya tentu bisa diminimalisasi. Sebagai alternatif, Anda bisa memilih buah dan sayuran yang diolah secara organik sehingga terbebas dari substansi kimia yang berbahaya, termasuk pestisida. Bisa juga, Anda kupas dulu kulit buah tersebut, supaya pestisidanya bisa hilang lebih sempurna, meski risikonya, Anda harus kehilangan banyak nutrisi yang terkandung dalam kulit buah tersebut. Semoga membantu ya.."
"Dok, setelah rambut di semir hitam, sepertinya kulit kepala melepuh dan gatal , solusi obat/salep yg manjur..?Terimakasih","Hallo Iqbal, terimakasih sudah bertanya ke Alodokter. Perkenalkan saya dr.Rio akan mencoba menjawab pertanyaan anda. Berdasarkan keluhan yang anda sebutkan, merupakan suatu tanda atau reaksi dari alergi atau iritasi karena penggunaan semir rambut. Dalam bahasa medis dikenal dengan dermatitis kontak. Dermatitis kontak adalah suatu peradangan pada kulit yang dapat timbul berupa ruam kemerahan, gatal, atau nyeri yang diakibatkan oleh adanya reaksi alergi terhadap suatu zat atau akibat kontak langsung dengan zat tertentu. Dermatitis kontak ada 2 macam, yaitu: dermatitis kontak alergi dermatitis kontak iritan Kedua penyakit ini memiliki tanda dan gejala yang hampir sama. Yaitu seperti : Ruamkemerahan pada kulit Gatal Nyeri Kering. Pembengkakan. Kulit kering atau bersisik. Kulit melepuh. Penebalan Dari kedua penyakit ini yang membedakan hanya dari penyebabnya. Dermatitis kontak alergi biasanya disebabkan oleh reaksi kekebalan tubuh terhadap suatu zat yang bersifat alergen. Seperti obat-obatan, krim antibiotik, serbuk sari, perhiasan, karet, logam, atau bahan kosmetik seperti cat kuku atau pewarna rambut, dsb. Sedangkan dermatitis kontak iritan biasanya disebabkan oleh zat-zat yang mengiritasi sehingga tejadi kerusakan pada lapisan kulit. Zat yang dapat mengiritasi ini antara lain seperti sabun, detergen, pemutih, pupuk, pestisida, asam, alkali, dsb. Obat-obat yang dapat digunakan pada penyakit dermatitis kontak ini seperti golongan antihistamin dan steroid. Apabila ruam yang terjadi mengalami infeksi maka diperlukan obat-obat tambahan untuk penanganannya. Saat ini yang dapat anda lakukan adalah: Hentikan dan hindari penggunaan zat yang memicu alergi tersebut. Jangan menggaruk dibagian kulit kepala yang gatal dan melepuh. Konsultasikan ke  dokter terdekat  untukpenanganan yang lebih cepat dan tepat terhadap keluhan anda. Sekian jawaban yang dapat saya berikan Terimakasih, semoga sehat selalu :)"
"pagi dok, saya mau nanya nih dok di desa saya ada mitos yang beredar kalau makan pepaya terlalu banyak akan menyebabkan tuli,saya coba cari di internet pepaya mengandung enzim papain yang jika banyak kita konsumsi menyebabkan mata merah dan hidung berair, apakah enzim ini juga dapat menyebabkan gangguan pada telinga?","Alo, terimakasih sudah bertanya di alodokter.com Pepaya  adalah salah satu buah lokal yang banyak memberikan efek kesehatan bagi tubuh. Namun, setiap apapun itu jika dikonsumsi secara berlebihan tidaklah baik, termasuk pepaya. Kandungan serat pada pepaya dapat menyebabkan seseorang menjadi diare jika mengonsumsi pepaya secara berlebihan. Selain itu, pepaya mengandung papain yang merupakan suatu alergen penyebab terjadinya reaksi alergi. Seseorang dengan penyakit asma, jika mengonsumsi pepaya secara berlebihan akan menyebabkan penyakit asmanya menjadi kambuh. Kondisi lainnya, yaitu apabila mengonsumsi pepaya berlebihan dapat menyebabkan terbentuknya batu ginjal, hal ini berkaitan dengan kandungan vitamin C yang tinggi pada buah pepaya. Selain itu, pepaya mengandung lateks, kandungan ini tinggi pada pepaya muda, dan kandungan ini dapat menyebabkan terjadinya keguguran pada ibu hamil apabila kadarnya berlebihan di tubuh. Itulah beberapa kasus yang dapat terjadi akibat mengonsumsi pepaya secara berlebihan. Adapun efek dari mengonsumsi pepaya berlebihan yang menyebabkan seseorang menjadi tuli, belum ada laporan kasus dan penelitian mengenai hal ini. Apakah memang berkaitan dengan kandungan papain atau kandungan zat lainnya, masih diperlukan penelitian dalam hal ini. Agar tidak mengalami efek buruk dari mengonsumsi bpepaya, maka janganlah mengonsumsinya secara berlebihan. Dan hindari juga mengonsumsi pepaya muda secara berlebihan. Pada dasarnya segala sesuatunya tidak boleh berlebihan. Demikian semoga bermanfaat."
"Dok, saya mau tanya. Apakah susu formula yang expired di bulan februari 2020 masih bosa di konsumsi tepat dibulan expired?","Alo Yuli, Terima kasih atas pertanyaannya. Expiry date  menyatakan jangka waktu suatu produk dapat digunakan, dan biasanya istilah ini digunakan pada produk-produk seperti makanan, perawatan tubuh, dan lain-lain. Contohnya pada expiry date  yang menunjukkan suatu bulan, maka produk itu aman digunakan sampai akhir bulan tersebut. Istilah ini merupakan saran kapan produk tersebut dapat digunakan, dikarenakan apabila sudah melewati waktu tersebut, produk bisa saja menjadi tidak aman untuk digunakan. Namun meskipun seperti itu, pada produk-produk tertentu seperti makanan atau susu, hal yang lebih diperhatikan adalah komposisi nutrisi yang bisa saja berubah dan menjadi tidak seefektif sebelum masa expiry date , begitu juga dengan rasa, kesegaran, dan kualitas lain yang terdapat pada produk itu. Semoga informasi ini dapat membantu yaa. Salam."
Pagi dok. . Saya membaca artikel bahwa penggunaan bakin sida aman untuk memutihkan kulit ketiak yang hitam. Apakah itu benar dok? Kalau bisa digunakan berapankali dalam seminggu biasanya dok ? Terima kasih,"Alo Asyera, Terima kasih atas pertanyaannya. Baking soda atau sodium bikarbonat sering dianggap memiliki banyak sekali manfaat untuk tubuh, mulai untuk kulit, rambut, sampai menetralkan bau badan. Meskipun baking soda memiliki beberapa manfaat untuk kesehatan dan sering digunakan sebagai bahan pada produk perawatan wajah, akan tetapi sampai saat ini,belum adapenelitian yang dapat membuktikan manfaat penggunaan baking soda sendiri (tanpa dengan bahan-bahan lain) untuk kesehatan kulit dan memutihkan ketiak. Bahkan, kandungan pada baking soda sesungguhnya relatif tidak baik untuk kulit, sehingga tidak direkomendasikan untuk digunakan secara langsung pada kulit. PH kulit kita cenderung asam, sekitar 4-6, hal ini dikarenakan kulit sebagai lapisan pelindung tubuh manusia. Sementara baking soda bersifat basa, dan apabila baking soda digunakan pada kulit hal tersebut dapat mengganggu pH kulit dan sifat protektif kulit, termasuk mengganggu produksi minyak dan bakteri baik yang dapat mencegah infeksi maupun jerawat, sehingga kulit cenderung menjadi kering dan rentan untuk terjadi infeksi. Selain itu, meskipun baking soda bersifat kasar dan dianggap baik untukeksfoliasi kulit termasuk pada bagian ketiak, namun partikel yang ada pada baking soda dinilai terlalu kasar dan dapat mengiritasi kulit, yang dapat menyebabkan kemerahan, rasa nyeri atau terbakar pada bagian yang digosok oleh baking soda. Sehingga, lebih baik Anda menggunakan produk perawatan kulit yang sudah lolos uji coba dan dapat secara aman digunakan pada kulit. Berikut artikel yang dapat Anda baca terkait  memutihkan kulit.  Semoga informasi ini dapat membantu Anda. Salam."
"dok kan calon suami aku kerja di rs ya di itu bersih2 kerorin klo ga salah pembunuh baktrri buat ngebersihin darahNah pulang kerja itu pas d rumah malah lemes,panas,sama mata pedih Itu knpa ya dok,dan cara ngobati nya gmn ??","Alo Endang Setiawaty, Trauma kimia pada mata dapat berupa terpapar langsung dengan cairan, bubuk, ataupun akibat uap zat kimia. Secara garis besar trauma kimia mata dapat dibagi 2, yakni trauma zat asam dan trauma zat basa. Cairan pembersih yang sering digunakan di rumah sakit adalah cairan chlorine. Chlorine yang dilarutkan dalam air akan bersifat asam lemah. Kerusakan mata tergantung dari seberapa banyak zat yang mengenai mata, jenis zat yang mengenai mata, dan seberapa cepat penanganan dilakukan. Kerusakan mata yang sering timbul akibat trauma kimia adalah  kerusakan pada lapisan kornea  (lapisan bening yang terdapat di tengah depan bola mata). Kerusakan kornea mata yang timbul akibat trauma kimia bisa bervariasi, yakni dari mulai hanya mengenai bagian epitel, kekeruhan kornea, bahkan hingga kornea mencair sehingga cairan aqueous (dalam bola mata) keluar. Kornea sangat berperang penting untuk fungsi penglihatan, trauma kimia yang berat dapat menimbulkan kornea keruh permanen dan menyebabkan kebutaan. Selain kornea apabila cairan menembus ke lapisan bagian dalam, dapat timbul kerusakan pada bagian-bagian lain mata. Gejala yang timbul akibat paparan chlorine pada mata: Rasa perih pada mata Mata merah Luka di kulit kelopak mata Penglihatan kabur Penanganan pertama apabila mata terpapar zat kimia adalah: Segera cuci mata di bawah air mengalir selama minimal 15 menit, di rumah sakit bisa terdapat kran air khusus untuk eye wash pada kejadian trauma kimia mata. Apabila tidak memungkinkan segera cari bantuan medis, sehingga dapat segera dilakukan irigasi mata dengan larutan khusus Pemeriksaan mata diperlukan setelah tindakan irigasi mata dengan air untuk menentukan bagian mana saja yang mengalami kerusakan Obat-obatan seperti tetes mata antibiotik, tetes mata steroid, vitamin C dosis tinggi, obat pengurang nyeri diberikan oleh dokter sesuai dengan hasil pemeriksaan mata Anda. Trauma kimia mata yang ringan umumnya dapat pulih dalam waktu tidak lama, sedangkan trauma yang berat mungkin membutuhkan terapi tambahan hingga pembedahan. Demikian penjelasan dari saya, semoga bermanfaat."
9 untuk infus dan untuk keperluan Lab,"19 February 2020, 11:34"
"Pagi dokter, saya sudah 5bln konsumsi booster asi. Seminggu ini kapsul boosternya muncul bercak putih seperti jamur. Apakah masih aman dikonsumsi ya dok? Sayang banget kalo dibuang karena masih banyak dok.","Hai Kurnia, Konsumsi obat atau makanan yang tampak berjamur sangatlah tidak dianjurkan karena dapat menyebabkan keracunan makanan atau infeksi saluran cerna yang dapat sangat berbahaya bagi kesehatan. Sebaiknya Anda membuang obat/bahan yang diduga terkontaminasi jamur agar tidak terkonsumsi tanpa disengaja oleh Anda atau anggota keluarga Anda. Terkait hal ini sebaiknya Anda membeli kembali kapsul booster ASI atau berkonsultasi secara langsung dengan dokter agar mendapat anjuran yang sesuai untuk kondisi Anda. Semoga bermanfaat, dr. Budiono"
"Dok, tadi saya habis mencuci pakai detergen, lalu tangan saya langsung merah, dan ada bintik bintik yg berdarah, apakah itu tidak cocok sama detergen nya dok? Lalu apa saran untuk tangan saya supaya cepat pulih?","Selamat malam, terima kasih telah bertanya di Alodokter. Kondisi yang Anda alami bisa berarti berbagai hal, diantaranya adalah: Dermatitis kontak Infeksi jamur kulit Xerosis Iritasi kulit Alergi Dan bisa juga kemungkinan lainnya tergantung dari hasil pemeriksaan. Saran kami, sebaiknya Anda konsultasikan masalah Anda pada dokter umum atau boleh langsung ke  dokter kulit  untuk dilihat kondisi kulitnya, apakah itu memang betul disebabkan deterjen atau karena ada faktor lain. Penanganan yang akan Anda terima nanti tergantung dari hasil pemeriksaan tersebut. Sementara itu, jika Anda ingin menggunakan deterjen lagi, pastikan tangan Anda sudah dilapisi sarung tangan plastik atau karet, demi mencegah kulit Anda bersentuhan langsung dengan deterjen, hingga dinyatakan aman oleh dokter Anda. Selain itu untuk tangan yang memerah, pastikan tetap kering dan bersih, lalu kompres dengan kompres dingin. Jika kondisinya tidak kunjung membaik, segera periksakan ke dokter. Sekian, semoga menjawab pertanyaan Anda."
"Saya sudah mencari jawaban di semua situs, majalah, buku dan lain2 tentang bahaya penggunaan rokok elektrik. Akan tetapi jawabanya masih sama semua \belum ada riset lebih lanjut\ apa pada tahun 2020 ini sudah ada riset tentang bahaya rokok elektrik dok?","Selamat pagi. Terimakasih telah bertanya ke AloDokter. Kondisi merokok elektrik hal ini sekarang menjadi salah satuu gaya hidup terutama pada anak muda, dimana hal ini memiliki beberapa efek yang perlu diperhatikan dan cukup bernahaya seperti 1. Kecanduan akibat zat nikotin 2. Risiko kanker meningkat karena zat formaldehida 3. Risiko akan diabetes, tekanan darah tinggi meningkat 4. Kerusakan paru yang berkaitan dengan asap yang dihirup Sebaiknya mulai kurangi frekuensi penggunaan dan akan levih baik bila tidak menggunakan beberapa cara adalah 1. Kesadaran akan bahaya 2. Alihkan dengan hobi lain seperti berolahraga 3. Hindari waktu luang terlalu lama 4. Dukungan orang sekitarnya Informasi lebih lanjut dapat dibaca pada artikel berikut  https://www.alodokter.com/tidak-sepenuhnya-aman-waspada-efek-samping-rokok-elektrik Demikian informasi yang dapat kami sampaikan semoga bermanfaat terimakasih"
Hallo dok selamat malam?? Dok saya mau tanya tangan saya kan terkena grease cutter pas nyuci panci tapi lama\ tangan saya agak alus dan bengkak akhirnya lecet\ gitu dok.. Obat nya ap ya dok?,"Alo Mohamad David Raka, Cairan grease cutter merupakan cairan yang bersifat alkali (basa). Cairan ini banyak digunakan untuk membersihkan peralatan makan atau masak karena kemampuannya untuk membuat suspensi dengan minyak sehingga larut dan mudah dibersihkan. Karena sifatnya yang basa, apabila cairan ini terpapar pada kulit dapat menimbulkan iritasi hingga peradangan pada kulit atau trauma kimia yang mirip dengan luka bakar. Dermatitis kontak iritan  adalah peradangan pada kulit akibat kontak suatu bahan yang bersifat iritan. Zat-zat yang dapat menimbulkan iritasi umumnya diberikan label khusus pada kemasan dan peringatan cara penggunaan yang benar. Saat menggunakan zat-zat tersebut, sebaiknya menggunakan sarung tangan, menghindari paparan dengan mata menggunakan goggle/ kacamata pelindung, serta menggunakannya di ruangan dengan ventilasi yang baik, sebab selain dapat menimbulkan pada kulit, zat-zat tersebut juga dapat berbahaya apabila terhirup. Apabila kulit terpapar grease cutter, penanganan pertama adalah dengan membilas bagian yang terkena dengan air bersih yang mengalir selama minimal 15 menit. Segera lepas pakaian yang terpapar zat tersebut. Kulit yang mengalami dermatitis kontak dapat menjadi bengkak, kemerahan, terasa gatal atau perih seperti terbakar. Pada dermatitis kontak iritan dapat diberikan  salep kortikosteroid  dan obat-obat pengurang rasa nyeri atau gatal ( antihistamin ). Hindari menggaruk daerah kulit yang mengalami kelainan. Rasa gatal dapat dikurangi dengan memberikan kompres dingin di area kulit tersebut. Demikian penjelasan dari saya, semoga bermanfaat."
"Dok saya mengalami iritasi pada muka awalnya merah merah biasa dok trus pas hari ke dua malah terlihat seperti luka bakar,, ini akibat saya menggunakan kosmetik.. Kira kira iritasi kulit saya ini bisa sembuh dalam beberapa hari saja ga dok? Kira kira paling cepat sembuhnya brpa hari dok?","Selamat siang, terimakasih atas pertanyaannya Banyaknya produk wajah yang digunakan serta kandungan zat kimia dalam produk wajah sangat memungkinkan untuk terjadinya iritasi pada wajah. Iritasi pada wajah ini dapat disebabkan oleh zat iritan yang mengakibatkan reaksi peradangan berupa rasa terbakar, panas, atau gatal. Kondisi lainnya dapat disebabkan oleh alergi terhadap bahan kosmetika yang kemudian memicu reaksi imun berlebihan, ditandai dengan gejala kemerahan, bengkak, atau gatal. Kondisi akut pada kondisi iritasi akibat penggunaan produk wajah ini dapat berlangsung dalam 3-7 hari, kemudian berangsur membaik. Penanganan yang perlu dilakukan adalah menghentikan penggunaan produk wajah, menggunakan pelembab, dan pada beberapa kasus dapat diberikan krim steroid jika peradangan kulit cukup berat dan antibiotik jika didapatkan infeksi sekunder atas rekomendasi dokter. Lakukanlah konsultasi lebih lanjut dengan dokter untuk pemeriksaan lesi kulit secara langsung serta untuk mendapatkan terapi yang memadai. Sekian, semoga dapat membantu. Wassalam."
 ascorbic acid dan collagen bisa digunakan bersamaan?,"21 January 2020, 20:19"
"Hallo dokter, Saya dan suami sedang menjalankan program hamil, suami saya disarankan dokter utk tidak merokok dan sudah 3 tahun berhenti merokok yg biasa dan beralih ke rokok elektrik, tetapi saya belum kunjung hamil.. Apakah rokok elektrik sama bahaya nya dok dengan rokok biasa? Apakah suami saya harus benar2 tidak merokok agar saya bisa cepat hamil?","Hallo anita sari, terimakasih sudah bertanya ke Alodokter. Sebelumnya saya dr.Rio akan mencoba menjawab pertanyaan anda. Infertilitas adalah tidak hamil setelah sekurang kurangnya satu tahun berhubungan seksual sedikitnya empat kali seminggu tanpa alat kontrasepsi. Infertilitas primer berarti istri belum pernah hamil sama sekali, sedangkan sekunder istri pernah hamil tapi tidak hamil - hamil setelahnya. Terdapat beberapa faktor terjadinya infertil yaitu : Masalah sperma (faktor ejakulasi, jumlah, pergerakan, kualitas sperma) infeksi menular seksual saat ini / masa lampau. Infeksi parasit (Toksoplasma, rubella, citomegalo virus). Stress berlebihan. Nutrisi yang tidak baik. Alkohol dan rokok yang berlebihan. Pada beberapa penelitian menyebutkan bahwa konsumsi nikotin dapat mempengaruhi infertilitas pada pria, namun untuk penggunaak rokok elektrik masih minim penelitian. Namun seperti kita tahu baik rokok konvensional maupun elektrik sama sama memiliki kandungan  nikotin,  walaupun jumlahnya berbeda. Yang saya sarankan kepada kalian adalah lakukanlah program kehamilan dengan meminimalisir faktor faktor yang dapat mempengaruhi infertilitas diatas. Selain dari itu rutinlah untuk kontrol ke dokter kandungan guna pemantauan program kehamilan, banyaklah bertanya mengenai program tersebut. Guna meningkatkan pengetahuan dan keberhasilan program kalian. Saat ini yang dapat anda lakukan adalah : Jalani program dengan sebaik mungkin, stop segala sesuatu yang mengancam kegagalan untuk hamil termasuk konsumsi nikotin. Jangan termakan marketing produk rokok elektrik yang mengatakan bahwa rokok tersebut serba aman, carilah bukti bukti ilmiah yang mendukung pernyataan tersebut. Istirahat cukup dan makan makanan bergizi tinggi untuk meningkatkan kesuburan anda dan suami anda. Lakukanlah cek kualitas sperma, faktor infeksi diatas apabila belum anda lakukan. Rutinlah berkonsultasi dengan dokter kandungan mengenai masalah tersebut. Terimakasih, semoga ini dapat menjawab pertanyaan anda. Semoga sukses dalam program kehamilannya :)"
Cara pemakaian yang benar tissue magic,"Alo Ardi, Terimakasih atas pertanyaannya. Seseorang dikatakan mengalami  ejakulasi dini  (ED) jika tidak bisa menahan ejakulasi dalam waktu kurang dari 1 menit usai penetrasi penis ke dalam vagina. Kondisi ini utamanya disebabkan oleh faktor psikis, seperti saat Anda baru pernah berhubugan seksual, bila Anda pernah mengalami pelecehan seksual, depresi, tidak percaya diri, rasa bersalah, juga kecemasan yang berlebihan. Faktor lain, seperti gangguan hormonal, gangguan keseimbangan senyawa kimia di otak, peradangan pada prostat atau saluran kemih, serta keturunan, juga bisa meningkatkan risiko Anda mengalami ED. Tisu magic , dengan kandungan etanol, polyethylene oxide, benzalkonium chloride, dan parfum di dalamnya, banyak digadang-gadang bisa meningkatkan ketahanan penis saat hubungan seksual, sehingga menghambat ED. Namun perlu dipahami, bahwa sesungguhnya kebenaran efektifitas tisu magic dalam mengatasi ED ini belum banyak terbukti secara medis. Justru, beragam risiko bisa muncul saat Anda menggunakan tieu magic, misalnya iritasi kulit kemaluan, alergi, resistensi bakteri, dan sebagainya. Karenanya, kami tidak berwenang menyarankan Anda menggunakannya demi kesehatan Anda sendiri. Bila Anda bermasalah dengan ED, langkah tepat yang perlu dilakukan ialah: Teratur berolahraga setiap hari, contohnya senam kegel Kendalikan stres, emosi, dan kecemasan Anda dengan bijaksana Makan variasi makanan bernilai gizi seimbang Tidak merokok Jauhi alkohol Saat berhubungan seksual"
Apakah itu berbaya dok ? Karena benjolannya keras dan membesar.Terimakasih semoga dijawab.,"Alo Des Desi, terima kasih sudah bertanya. Tahi lalat atau nevus pigmentosum adalah suatu kondisi kulit yang disebabkan oleh penumpukan melanin (zat pigmen) pada permukaan kulit. Pada umumnya nevus tidak berbahaya, selama tidak membesar atau melebar dan tidak nyeri. Menggunakan kapur sirih dan sabun tidak akan menghilangkan nevus, karena nevus terletak hingga agak ke dalam kulit. Nevus dapat dihilangkan dengan melakukan tindakan insisi, kauter, atau bedah beku. Kapur sirih dibuat dari bahan mengandung kalsium yang dipadatkan. Seharusnya kapur sirih dan sabun tidak membuat iritasi kulit. Namun bila kulit anda cukup sensitif, maka mungkin saja benjolan disebabkan oleh iritasi atau reaksi alergi. Anda sebaiknya memeriksakan diri ke dokter agar dokter dapat menentukan jenis kelainan kulit yang anda alami. Terapinya akan disesuaikan dengan diagnosisnya. Sementara ini, hentikan dulu penggunaan kapur sirih agar gejala tidak berlanjut. Semoga jawaban ini cukup membantu. Salam."
"Dok ingin tanya, apakah vaseline jely bisa untuk mempertebal alis? Soalnya dapet info dari temen yang sudah pake katanya bisa terima kasih :)","Halo. Terima kasih atas pertanyaan yang disampaikan ke Alodokter Kami dapat memahami kekhawatiran yang Anda rasakan. Produk yang Anda sebutkan merupakan produk bermerk yang mengandung petroleum jelly. Bahan ini dapat membantu menjaga dan mengembalikan kelembapan kulit. Selain itu, bahan tersebut dapat mengurangi kenampakan garis halus dan kering serta mencegah kulit kasar. Hingga kini tidak ada penelitian ilmiah yang sahih yang membuktikan manfaat produk yang Anda sebutkan untuk mempertebal alis. Ketebalan alis cenderung dipengaruhi oleh faktor genetik. Hanya saja, bila produk itu diaplikasikan pada sisir alis, alis akan terlihat lebih rapi ketika disisir. Akan tetapi, ketebalannya tidak dipengaruhi oleh produk tersebut. Jangan ragu untuk berkonsultasi dengan dokter atau  dokter spesialis kulit dan kelamin  bila Anda ingin mengetahui lebih lanjut produk perawatan kulit yang sesuai dengan kebutuhan individual Anda. Untuk memperkaya wawasan, Anda dapat membaca artikel tentang  petroleum jelly . Demikian informasi dari kami. Mudah-mudahan senantiasa sehat. Semoga bermanfaat."
"selamat siang dok, saya kebiasaan menghirup spidol sno*m**n dan akibatnya saya sesak napas apakah itu pengaruh dari spidol tersebut? di spidol tersebut ada kandungan xylene dan xylene itu katanya berbahaya atau ada penyakit lain selain kebiasaan saya ini tolong penjelasannya dok.","Halo, terimakasih atas pertanyaannya untuk Alodokter Pertama-tama, saya hendak mengkonfirmasi terlebih dahulu, apakah setiap kali anda menghirup spidol tersebut anda selalu merasakan sesak nafas? Pada dasarnya xylene merupakan suatu bahan kimia yang digunakan sebagai solvent atau pelarut, dan memang umum ditemukan dalam berbagai industri, termasuk juga ditemukan dalam bolpen ataupun spidol. Kandungan xylene dalam spidol sendiri cukup rendah dan bila tidak sengaja terhirup saat menggunakan spidol kemungkinan besar tidak akan menyebabkan efek samping apapun. Namun bila anda dengan sengaja menghirup spidol atau bahkan memiliki kebiasaan menghirup spidol (artinya paparan anda cukup tinggi), xylene bisa menyebabkan berbagai masalah kesehatan, baik yang sifatnya akut ataupun kronis (bila anda melakukannya terus menerus hingga bertahun-tahun). Beberapa efek akut yang bisa terjadi (segera atau beberapa saat setelah menghirup xylene) antara lain iritasi pada mata, iritasi pada saluan nafas, sakit kepala, pusing, gangguan keseimbangan, mengantuk tremor, gangguan irama jantung, edema paru, depresi nafas, mual muntah, serta gangguan hati. Paparan dengan zat kimia ini selama berbulan-bulan hingga bertahun-tahun dapat menyebabkan gangguan neuropsikiatrik yang sifatnya progresif dan permanen yang disebut dengan ensefalopati toksik kronis, yang gejalanya bisa bervariasi dari yang ringan (seperti gangguan konsentrasi dan gangguan memori yang ringan saja), hingga bisa menyebabkan gangguan yang berat seperti gangguan atensi, gangguan memori berat, gangguan belajar (gangguan menerima informasi baru), serta gangguan psikomotor. Bila digunakan selama kehamilan, xylene juga dapat menyebabkan efek toksik pada janin. Sebaiknya anda segera menghentikan kebiasaan anda tersebut agar tidak sampai terjadi efek toksisitas yang sifatnya kronis. Bila setelah berhenti menghirup spidol anda masih tetap merasakan sesak nafas, konsultasikan kondisi anda tersebut ke dokter penyakit dalam untuk dianalisis lebih lanjut penyebab pastinya dan diberikan pengobatan yang sesuai dengan penyebab sesak nafas anda tersebut. Sekian informasi dari saya, semoga cukup menjawab"
Halo dok. Jadi setelah saya memyemir rambut dengan tangan. Kuku kuju saya terasa sakit. Apalagi saat dipencet. Apakah hal tersebutnada hubungannya dengan saya memegang semir. Atau barangkali zat\ kimia di semir membuat kulit\ saya di bawah kuku terluka.terimakasih dok,"Hallo lifta, terimakasih sudah bertanya ke Alodokter. Perkenalkan saya dr. Rio akan mencoba menjawab pertanyaan anda. Yang harus anda pastikan adalah apakah terjadi pada semua jari tangan atau hanya pada jari jari tertentu. Beberapa kemungkinan yang terjadi pada anda adalah : Paronikia. Dermatitis kontak iritan. Sebenarnya keluhan yang anda alami tidak begitu spesifik dan jarang terjadi apabila terjadi pada semua jari anda. Pada kemungkinan paronikia, terjadi infeksi pada bawah kuku yang ditandai dengan kuku yang menancap ke lapisan kulit. Hal ini dapat disebabkan oleh beberapa hal misalkan memotong kuku terlalu pendek, pekerjaan tertentu, trauma pada kuku. Hal ini bisa terjadi pada kuku tangan ataupun kaki. Menegakkan diagnosis paronikia harus dengan pemeriksaan fisik. Sedangkan pada dermatitis kontak iritan, terjadi reaksi berlebihan di kulit akibat terpapar zat yang memiliki efek iritasi (zat yang apabila tersentuh oleh orang lain kemungkinan akan menimbulkan reaksi yang sama) contoh lain : bensin, alkohol, zat asam, dsb. Keluhan yang timbul bisa beragam, mulai dari rasa panas, sensasi terbakar, gatal, timbul ruam, bengkak, dsb. Apabila terjadi hal ini pada diri anda, kemungkinan hal tersebut juga akan terjadi di kepala anda. Saat ini yang dapat anda lakukan adalah : Rendam kuku dengan air hangat selama 15 menit, dapat diulangi 2 - 3 kali untuk mengurangi nyeri dan pembengkakan. Istirahat cukup, dan jaga pola makan. Kunjungi dokter, untuk memastikan kelainan. Sekian jawaban yang saya berikan. Terimakasih :)"
Bahan apa saja yang dapat menetralkan karbon aktif?,"Hai Andri, Karbon aktif atau  activated carbon/charcoal  merupakan obat yang umumnya digunakan untuk mengatasi gangguan saluran cerna ataupun keracunan makanan/obat. Sejauh ini belum terdapat penelitian yang menujukan penetral ( antidotum ) karbon aktif, namun demikian obat ini secara alamiah diekskresikan (dibuang) melalui saluran cerna dan empedu sehingga tidak membutuhkan antidotum. Anda sebaiknya tidak melakukan penanganan secara sendiri kondisi medis dan sebaiknya berkonsultasi terlebih dahulu secara langsung dengan dokter terkait penanganan kondisi medis tertentu agar mendapat informasi dan anjuran yang sesuai dengan kondisi Anda dan terhindar dari berbagai potensi efek samping obat-obatan. Adapun efek samping karbon aktif adalah diare, konstipasi, gangguan penyerapan obat dan makanan, gangguan keseimbangan elektrolit sampai dengan sumbatan saluran cerna. Semoga bermanfaat, dr. Budiono"
